"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Agência Espacial Brasileira - AEB";"Dados Abertos de Orçamento da AEB";"Tabelas derivadas do Sistema Integrado de Planejamento e Orçamento - SIOP, contendo dados de orçamento, dotação orçamentária, empenhos, pagamentos da AEB desde o ano 2000 a 2021.";"Administração,Economia e Finanças,Orçamento,Planejamento e Gestão";"4";"0";"38";"0"
"Agência Espacial Brasileira - AEB";"Ciclo de Avaliação de Desempenho Institucional da AEB";"Dados relativos aos resultados das metas estabelecidas para
avaliação de desempenho institucional. Ele denota a capacidade institucional de cumprir as atividades pactuadas, as quais estão diretamente ligadas à sua atuação no setor espacial.";"Avaliação de Desempenho,Indicadores de Gestão,Metas,Planejamento e Gestão";"2";"0";"25";"0"
"Agência Espacial Brasileira - AEB";"Objetos Espaciais Brasileiros";"Trata-se de uma tabela derivada de dados públicos de fontes internacionais contendo alguns elementos orbitais e status resumido de objetos espaciais lançados pelo Brasil.";"Defesa Nacional,Pesquisa e Desenvolvimento,Satélites,Telecomunicações";"4";"0";"81";"0"
"Agência Espacial Brasileira - AEB";"Dados Abertos de Recursos Humanos da AEB";"Informações sobre dados abertos de Recursos Humanos da Agência Espacial Brasileira.";"Administração,Planejamento e Gestão,Recursos Humanos";"2";"0";"54";"0"
"Agência Espacial Brasileira - AEB";"Dados Abertos de Contratos Administrativos";"Conjunto de dados relativos aos contratos administrativos celebrados pela Agência Espacial Brasileira - AEB.";"Compras governamentais,Economia e Finanças,Planejamento e Gestão";"4";"0";"94";"0"
"Agência Espacial Brasileira - AEB";"Catálogo da Indústria Espacial Brasileira";"Dados derivados do cadastramento das indústrias espaciais brasileiras.";"Catálogo,Indústria Espacial,Produtos,Serviços";"2";"0";"123";"0"
